Phytoplankton Monitoring Programme results,,,,,,,,,,,,,,,
Sample number,Production area,Bed ID,Local authority,"Grid reference

Note 1             ",Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) ",,
401/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,6/9/2021,40,ND,ND,19360,ND,ND,ND,,
402/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,6/9/2021,ND,ND,ND,ND,ND,ND,240,,
403/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,6/10/2021,ND,ND,ND,ND,ND,ND,ND,,
404/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,6/14/2021,ND,ND,ND,720,ND,ND,ND,,
405/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,6/14/2021,ND,ND,40,40,ND,ND,ND,,
406/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,6/14/2021,ND,40,ND,560,ND,ND,ND,,
407/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,6/14/2021,200,280,ND,2400,ND,ND,ND,,
408/21,Portland,B25AM,Dorset Council,SY68707757,Site A,6/14/2021,ND,ND,ND,2720,ND,ND,ND,,
409/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,6/13/2021,ND,ND,ND,7200,ND,ND,ND,,
410/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,6/14/2021,ND,400,ND,800,ND,ND,ND,,
411/21,Swale,B076P,Swale BC,TR01316497,The Causeway,6/14/2021,ND,ND,ND,ND,ND,ND,ND,,
412/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,6/14/2021,ND,40,ND,1560,40,ND,ND,,
413/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,6/15/2021,ND,ND,ND,24900,ND,ND,ND,,
414/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,6/15/2021,ND,ND,ND,ND,ND,ND,ND,,
415/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,6/15/2021,ND,ND,ND,ND,ND,ND,200,,
416/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,6/15/2021,ND,ND,ND,58600,ND,ND,300,,
417/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,6/15/2021,ND,ND,ND,753000,ND,ND,1000,,
418/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,6/15/2021,ND,ND,ND,1200,ND,ND,ND,,
419/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,6/15/2021,ND,ND,ND,6880,ND,ND,ND,,
420/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,6/16/2021,ND,ND,ND,2900,ND,ND,ND,,
421/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,6/16/2021,ND,ND,ND,3480,ND,ND,ND,,
422/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,6/16/2021,ND,ND,ND,2200,ND,ND,ND,,
423/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,6/16/2021,ND,80,ND,1000,ND,ND,ND,,
424/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,6/16/2021,40,ND,ND,118000,ND,ND,ND,,
425/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,6/15/2021,ND,160,ND,5480,ND,ND,ND,,
426/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,6/15/2021,ND,ND,ND,ND,ND,ND,ND,,
428/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,6/21/2021,ND,ND,ND,480,ND,ND,ND,,
429/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,6/21/2021,ND,ND,ND,ND,ND,ND,ND,,
430/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,6/21/2021,ND,200,ND,80,ND,ND,ND,,
431/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,6/21/2021,ND,ND,ND,200,ND,ND,200,,
432/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,6/22/2021,ND,ND,ND,160,ND,ND,ND,,
433/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,6/21/2021,ND,ND,ND,ND,ND,ND,ND,,
434/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,6/22/2021,ND,ND,ND,7120,ND,ND,ND,,
435/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,6/20/2021,ND,ND,ND,ND,ND,ND,ND,,
436/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,6/22/2021,ND,80,ND,9360,ND,ND,ND,,
437/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,6/23/2021,ND,ND,ND,ND,ND,ND,ND,,
438/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,6/23/2021,ND,ND,ND,400,ND,ND,ND,,
439/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,6/23/2021,ND,ND,ND,1000,ND,ND,ND,,
440/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,6/23/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
441/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,6/23/2021,ND,ND,ND,ND,ND,ND,ND,,
442/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,6/23/2021,40,ND,ND,160,ND,ND,ND,,
443/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,6/23/2021,ND,ND,ND,12760,ND,ND,ND,,
444/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,6/23/2021,ND,ND,ND,ND,ND,ND,ND,,
445/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,6/23/2021,ND,ND,ND,1000,ND,ND,280000,,
446/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,6/24/2021,ND,ND,ND,ND,ND,ND,ND,,
447/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,6/23/2021,ND,ND,ND,1080,ND,ND,ND,,
448/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,6/24/2021,ND,ND,ND,400,ND,ND,ND,,
449/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,6/23/2021,ND,120,ND,11320,ND,ND,ND,,
450/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,6/24/2021,ND,ND,ND,6480,ND,ND,ND,,
451/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,6/24/2021,ND,ND,ND,1200,ND,ND,ND,,
452/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,6/28/2021,ND,40,ND,ND,ND,ND,ND,,
453/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,6/28/2021,ND,200,ND,240,ND,ND,ND,,
454/21,Portland,B25AK,Dorset Council,SY68707757,Site A,6/28/2021,ND,ND,ND,109000,ND,ND,ND,,
455/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,6/29/2021,ND,ND,ND,ND,ND,ND,ND,,
456/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,6/29/2021,ND,ND,ND,ND,ND,ND,ND,,
457/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,6/29/2021,ND,ND,ND,9000,ND,ND,ND,,
458/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,6/29/2021,ND,ND,ND,12000,ND,ND,ND,,
459/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,6/29/2021,ND,ND,ND,13400,ND,ND,ND,,
460/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,6/29/2021,ND,ND,ND,7680,ND,ND,ND,,
461/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,6/30/2021,ND,ND,ND,200,ND,ND,ND,,
462/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,6/30/2021,200,160,ND,240,ND,ND,ND,,
463/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,6/30/2021,40,ND,ND,ND,ND,ND,ND,,
464/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,6/30/2021,200,400,ND,4600,ND,ND,ND,,
465/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,6/30/2021,40,800,ND,2080,ND,ND,ND,,
466/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,6/30/2021,40,400,ND,720,ND,ND,ND,,
467/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,6/30/2021,40,1360,ND,1840,ND,ND,ND,,
468/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,6/29/2021,ND,ND,ND,ND,ND,ND,ND,,
469/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,6/30/2021,ND,200,ND,ND,ND,ND,1200,,
470/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,6/29/2021,ND,40,ND,1840,ND,ND,ND,,
471/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,7/1/2021,ND,ND,ND,200,ND,ND,ND,,
472/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,7/5/2021,ND,ND,ND,ND,ND,ND,ND,,
473/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,7/5/2021,ND,ND,ND,ND,ND,ND,ND,,
474/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,7/4/2021,ND,ND,ND,ND,ND,ND,ND,,
475/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,7/5/2021,ND,ND,ND,ND,ND,ND,1574000,,
476/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,7/6/2021,ND,ND,ND,300,ND,ND,ND,,
477/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,7/6/2021,ND,ND,200,5200,ND,ND,ND,,
478/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,7/6/2021,100,ND,ND,400,ND,ND,ND,,
479/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,7/5/2021,ND,ND,ND,5800,ND,ND,ND,,
480/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,7/7/2021,ND,ND,ND,ND,ND,ND,ND,,
482/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,7/7/2021,ND,400,ND,ND,ND,ND,ND,,
483/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,7/7/2021,ND,ND,ND,ND,ND,ND,ND,,
484/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,7/7/2021,400,ND,ND,600,ND,ND,ND,,
485/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,7/7/2021,ND,240,ND,2360,ND,ND,40,,
486/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,7/7/2021,ND,720,ND,2000,ND,ND,ND,,
487/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,7/7/2021,ND,640,ND,400,ND,ND,ND,,
488/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,7/7/2021,ND,ND,ND,7080,ND,ND,ND,,
489/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,7/7/2021,ND,ND,ND,37080,ND,ND,ND,,
490/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,7/7/2021,200,ND,ND,7800,ND,ND,ND,,
491/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,7/7/2021,ND,ND,ND,6720,ND,ND,ND,,
492/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,7/7/2021,ND,40,ND,7720,ND,ND,ND,,
494/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,7/7/2021,ND,ND,ND,ND,ND,ND,ND,,
495/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,7/7/2021,ND,ND,ND,5900,ND,ND,ND,,
496/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,7/8/2021,ND,ND,ND,ND,ND,ND,ND,,
497/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,7/8/2021,ND,ND,ND,320,ND,ND,ND,,
498/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,7/8/2021,ND,ND,ND,2840,ND,ND,ND,,
499/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,7/12/2021,ND,ND,ND,ND,ND,ND,ND,,
500/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,7/12/2021,ND,ND,ND,1440,ND,ND,40,,
501/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,7/12/2021,ND,200,ND,120,ND,ND,ND,,
502/21,Portland,B25AK,Dorset Council,SY68707757,Site A,7/12/2021,ND,40,40,2640,ND,40,40,,
503/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,7/12/2021,ND,ND,ND,360,ND,ND,ND,,
504/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,7/12/2021,ND,ND,ND,ND,ND,ND,ND,,
505/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,7/12/2021,ND,40,ND,ND,ND,ND,80,,
506/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,7/12/2021,ND,ND,ND,200,ND,ND,ND,,
507/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,7/12/2021,ND,80,ND,ND,ND,ND,ND,,
508/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,7/12/2021,ND,40,ND,4520,ND,ND,ND,,
509/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,7/13/2021,ND,ND,ND,680,ND,ND,ND,,
510/21,The Wash,B003V,Boston BC,TF44234098,Toft,7/12/2021,ND,ND,ND,80,ND,ND,ND,,
511/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,7/13/2021,ND,ND,ND,600,ND,ND,ND,,
512/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,7/13/2021,ND,ND,ND,ND,ND,ND,ND,,
513/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,7/13/2021,ND,ND,ND,3800,ND,ND,ND,,
514/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,7/13/2021,ND,ND,ND,ND,ND,ND,ND,,
515/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,7/13/2021,40,ND,ND,ND,ND,ND,ND,,
516/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,7/13/2021,120,80,ND,400,ND,ND,ND,,
517/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,7/13/2021,ND,ND,ND,1200,ND,ND,ND,,
518/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,7/13/2021,ND,ND,ND,800,ND,ND,ND,,
519/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,7/13/2021,ND,ND,ND,ND,ND,ND,ND,,
520/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,7/12/2021,ND,ND,ND,ND,ND,ND,ND,,
521/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,7/13/2021,ND,ND,ND,ND,ND,ND,ND,,
522/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,7/13/2021,ND,ND,ND,80,ND,ND,ND,,
523/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,7/13/2021,40,40,ND,1040,ND,ND,ND,,
524/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,7/12/2021,ND,40,ND,5120,ND,ND,ND,,
525/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,7/14/2021,ND,280,ND,2160,ND,ND,ND,,
526/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,7/14/2021,ND,ND,ND,12000,ND,ND,ND,,
527/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,7/13/2021,ND,ND,ND,4600,ND,ND,ND,,
528/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,7/14/2021,ND,ND,ND,640,ND,ND,ND,,
529/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,7/14/2021,ND,ND,ND,ND,ND,ND,ND,,
530/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,7/14/2021,ND,200,ND,ND,ND,ND,ND,,
531/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,7/14/2021,ND,ND,ND,2400,ND,ND,ND,,
532/21,Swale,B076P,Swale BC,TR01316497,The Causeway,7/14/2021,ND,ND,ND,ND,ND,ND,ND,,
533/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,7/14/2021,ND,ND,ND,177000,ND,ND,ND,,
534/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,7/14/2021,ND,ND,ND,410000,ND,ND,ND,,
535/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,7/14/2021,ND,ND,ND,1600,ND,ND,ND,,
537/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,7/15/2021,ND,ND,ND,ND,ND,ND,ND,,
538/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,7/15/2021,ND,ND,ND,200,ND,ND,ND,,
539/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,7/19/2021,ND,ND,ND,6240,ND,ND,ND,,
540/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,7/19/2021,ND,ND,ND,ND,ND,ND,ND,,
541/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,7/19/2021,ND,ND,ND,10800,ND,ND,ND,,
542/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,7/20/2021,500,ND,ND,200,ND,ND,100,,
543/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,7/20/2021,200,ND,ND,200,ND,ND,ND,,
544/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,7/20/2021,ND,40,ND,4520,ND,ND,ND,,
545/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,7/20/2021,ND,ND,ND,42200,ND,ND,ND,,
546/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,7/19/2021,ND,ND,ND,1000,ND,ND,ND,,
547/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,7/21/2021,ND,ND,ND,1800,ND,ND,ND,,
548/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,7/19/2021,ND,ND,40,ND,ND,ND,ND,,
549/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,7/21/2021,ND,680,ND,2160,ND,ND,ND,,
550/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,7/21/2021,ND,ND,ND,ND,ND,ND,ND,,
551/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,7/21/2021,ND,ND,ND,2000,ND,ND,ND,,
552/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,7/21/2021,ND,ND,ND,700,ND,ND,ND,,
553/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,7/21/2021,ND,ND,ND,13440,ND,ND,ND,,
554/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,7/22/2021,ND,ND,ND,ND,ND,ND,ND,,
555/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,7/22/2021,ND,ND,ND,ND,ND,ND,ND,,
556/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,7/22/2021,ND,ND,ND,ND,ND,ND,ND,,
557/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,7/22/2021,ND,40,ND,ND,ND,ND,ND,,
558/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,7/21/2021,ND,40,ND,ND,ND,ND,40,,
559/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,7/21/2021,ND,ND,ND,1960,ND,ND,ND,,
560/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,7/26/2021,ND,ND,ND,ND,ND,ND,ND,,
561/21,Portland,B25AK,Dorset Council,SY68707757,Site A,7/26/2021,ND,ND,ND,7000,ND,ND,ND,,
562/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,7/26/2021,ND,ND,ND,700,ND,ND,ND,,
563/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,7/26/2021,ND,ND,ND,9800,ND,ND,ND,,
564/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,7/26/2021,ND,ND,ND,ND,ND,ND,ND,,
565/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,7/27/2021,ND,ND,120,ND,ND,ND,ND,,
566/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,7/27/2021,ND,ND,ND,ND,ND,ND,ND,,
567/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,7/27/2021,ND,ND,ND,ND,ND,ND,ND,,
568/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,7/26/2021,ND,ND,ND,ND,ND,ND,ND,,
569/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,7/26/2021,ND,ND,ND,1000,ND,ND,ND,,
570/21,,,Maldon DC,,Woodup pool,7/27/2021,"NOT TESTED, SUBMITTED IN ERROR",,,,"NOT TESTED, SUBMITTED IN ERROR","NOT TESTED, SUBMITTED IN ERROR","NOT TESTED, SUBMITTED IN ERROR",,
571/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,7/27/2021,ND,ND,ND,ND,ND,ND,ND,,
572/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,7/27/2021,ND,ND,ND,ND,ND,ND,ND,,
573/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,7/27/2021,ND,80,ND,3120,ND,ND,ND,,
574/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,7/27/2021,ND,ND,ND,720,ND,ND,ND,,
575/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,7/27/2021,ND,40,ND,1000,ND,40,ND,,
576/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,7/27/2021,ND,40,ND,80,ND,120,ND,,
577/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,7/26/2021,ND,40,ND,80,ND,ND,ND,,
578/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,7/28/2021,160,40,ND,1000,ND,ND,ND,,
579/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,7/28/2021,240,ND,ND,360,ND,ND,ND,,
580/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,7/28/2021,240,ND,ND,360,ND,ND,40,,
581/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,7/28/2021,ND,ND,ND,3280,ND,ND,40,,
582/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,7/28/2021,ND,ND,ND,2700,ND,ND,ND,,
583/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,7/28/2021,ND,40,ND,1360,ND,ND,ND,,
584/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,7/29/2021,ND,ND,ND,80,ND,ND,ND,,
585/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,8/2/2021,ND,ND,ND,ND,ND,ND,ND,,
586/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,8/2/2021,ND,40,ND,3000,ND,ND,ND,,
587/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,8/2/2021,ND,ND,ND,11160,ND,ND,ND,,
588/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,8/2/2021,ND,80,ND,9400,ND,ND,ND,,
589/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,8/2/2021,ND,ND,ND,ND,ND,ND,ND,,
590/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,8/2/2021,ND,80,ND,160,ND,ND,4160,,
591/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,8/3/2021,ND,ND,ND,ND,ND,ND,ND,,
593/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,8/3/2021,ND,ND,ND,ND,ND,ND,ND,,
594/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,8/3/2021,500,ND,ND,200,ND,ND,ND,,
595/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,8/3/2021,ND,ND,ND,ND,ND,ND,ND,,
596/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,8/3/2021,ND,ND,ND,ND,ND,ND,ND,,
597/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,8/4/2021,100,ND,ND,2500,ND,ND,100,,
598/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,8/4/2021,40,ND,ND,ND,ND,ND,760,,
599/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,8/4/2021,ND,ND,ND,240,ND,ND,240,,
600/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,8/4/2021,ND,ND,ND,ND,ND,ND,40,,
601/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,8/5/2021,ND,ND,40,ND,ND,ND,ND,,
602/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,8/5/2021,ND,ND,ND,6000,ND,ND,ND,,
603/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,8/5/2021,ND,ND,ND,ND,ND,ND,ND,,
604/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,8/9/2021,ND,ND,ND,ND,ND,ND,ND,,
605/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,8/9/2021,ND,ND,ND,ND,ND,ND,ND,,
606/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,8/8/2021,ND,40,40,ND,ND,ND,ND,,
